numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud,zona_original,zona_canonica,distrito_original,distrito_corregido,comuna_corregida,motivo_validacion
15-08-970-5366-000,Godofredo Rodriguez-Rojas,2367764 CBBA,Av. VillazÃ³n NÂ° 1128,PUKARA GRANDE OESTE,11,719,44,1163,830,Residencial,3.01.1.10.2750600,2491146,3736.72,-17.382225,-66.203231,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,11,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-05-288-6448-000,Godofredo Rodriguez-Rojas,2367764 CBBA,Av. Melchor PÃ©rez NÂ° 3316,USPHA USPHA,15,900,44,347,70,Industrial,3.01.1.68.4986485,409807,614.71,-17.401793,-66.128262,USPHA USPHA,USPHA USPHA,15,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-16-478-6336-000,Godofredo Rodriguez-Rojas,2367764 CBBA,Av. Melchor PÃ©rez NÂ° 2522,QUERU QUERU,2,871,7,306,202,Industrial,3.01.1.98.2291802,672282,1008.42,-17.407135,-66.187967,QUERU QUERU,QUERU QUERU,2,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-19-989-5308-000,Rico Delgado,4073392 CBBA,Av. CircunvalaciÃ³n NÂ° 1844,HIPODROMO,15,711,7,553,405,Mixto,3.01.1.40.9570739,1294573,1941.86,-17.449682,-66.119953,HIPODROMO,HIPÓDROMO,15,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-03-141-6877-000,Rico Delgado,4073392 CBBA,Av. Beijing NÂ° 1701,LAS CUADRAS,9,332,44,420,250,Educativo,3.01.1.68.7944414,962220,1443.33,-17.420796,-66.127038,LAS CUADRAS,LAS CUADRAS,9,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-06-012-8041-000,Rico Delgado,4073392 CBBA,Av. Blanco Galindo NÂ° 1213,LACMA,14,655,43,777,261,Residencial,3.01.1.52.4986860,1034187,1551.28,-17.412319,-66.118242,LACMA,LACMA,14,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-15-740-3650-000,Rico Delgado,4073392 CBBA,Av. Blanco Galindo NÂ° 2890,VILLA BUSCH,13,812,25,186,180,Industrial,3.01.1.14.5963206,168330,252.5,-17.403411,-66.183972,VILLA BUSCH,VILLA BUSH,13,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-15-500-0532-000,Rico Delgado,4073392 CBBA,Av. Melchor PÃ©rez NÂ° 1794,CONDEBAMBA,9,999,9,1172,1050,Residencial,3.01.1.32.5381888,999716,1499.57,-17.450759,-66.114781,CONDEBAMBA,CONDEBAMBA,9,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-16-477-7678-000,Nidia Victoria Dominguez Santiago,5138721 CBBA,Av. Melchor PÃ©rez NÂ° 1621,MESADILLA,3,937,49,150,142,Mixto,3.01.1.45.3063340,95700,143.55,-17.427482,-66.140395,MESADILLA,MESADILLA,3,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-12-539-9787-000,Nidia Victoria Dominguez Santiago,5138721 CBBA,Av. VillazÃ³n NÂ° 1129,MUYURINA,14,546,37,413,233,Comercial,3.01.1.85.6767193,783461,1175.19,-17.418142,-66.143393,MUYURINA,MUYURINA,14,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-05-614-0137-000,Alexandra Miranda,4573010 CBBA,Av. Beijing NÂ° 1612,SARCOBAMBA,5,637,50,734,286,Mixto,3.01.1.50.8144338,1462862,2194.29,-17.376996,-66.193658,SARCOBAMBA,SARCOBAMBA,5,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-12-202-2513-000,Alexandra Miranda,4573010 CBBA,Av. VillazÃ³n NÂ° 937,MAYORAZGO,8,24,47,984,144,Industrial,3.01.1.28.3005348,1331352,1997.03,-17.41356,-66.151513,MAYORAZGO,MAYORAZGO,8,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-16-048-8720-000,Eliana RÃ­o-Pujol,6506464 CBBA,Av. AmÃ©rica NÂ° 4089,LA MAICA,9,518,8,402,169,Industrial,3.01.1.39.1599504,623100,934.65,-17.446661,-66.15256,LA MAICA,LA MAICA,9,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-10-278-1239-000,Eliana RÃ­o-Pujol,6506464 CBBA,Av. AmÃ©rica NÂ° 4979,LA CHIMBA,15,9,4,729,179,Educativo,3.01.1.79.7360791,866052,1299.08,-17.421093,-66.147827,LA CHIMBA,CHIMBA,15,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-03-671-3914-000,Natalia Benet Sarabia,8962073 CBBA,Av. Beijing NÂ° 886,NORESTE,1,416,8,987,684,Residencial,3.01.1.41.8036342,732354,1098.53,-17.392091,-66.135848,NORESTE,NORESTE,1,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-17-799-2413-000,Natalia Benet Sarabia,8962073 CBBA,Av. AmÃ©rica NÂ° 702,MESADILLA,3,666,20,338,108,Industrial,3.01.1.30.6727201,717912,1076.87,-17.429455,-66.180693,MESADILLA,MESADILLA,3,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-14-326-1746-000,Natalia Benet Sarabia,8962073 CBBA,Av. Blanco Galindo NÂ° 3214,NORESTE,4,724,5,934,407,Industrial,3.01.1.17.6665409,1163764,1745.65,-17.418666,-66.196747,NORESTE,NORESTE,4,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-16-310-3897-000,Natalia Benet Sarabia,8962073 CBBA,Av. AmÃ©rica NÂ° 4398,LA CHIMBA,10,500,5,722,550,Comercial,3.01.1.78.4634377,929214,1393.82,-17.415124,-66.185434,LA CHIMBA,CHIMBA,10,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-02-388-1254-000,Armando Barrena Macias,2883922 CBBA,Av. AmÃ©rica NÂ° 886,HIPODROMO,2,176,50,1086,309,Residencial,3.01.1.63.1458127,856854,1285.28,-17.39223,-66.139324,HIPODROMO,HIPÓDROMO,2,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-05-434-5191-000,Armando Barrena Macias,2883922 CBBA,Av. VillazÃ³n NÂ° 4106,LA CHIMBA,5,789,41,609,412,Educativo,3.01.1.36.3460494,1520064,2280.1,-17.416849,-66.163045,LA CHIMBA,CHIMBA,5,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-08-186-3810-000,Armando Barrena Macias,2883922 CBBA,Av. Blanco Galindo NÂ° 1463,LA MAICA,1,688,24,895,597,Educativo,3.01.1.46.6654462,2134575,3201.86,-17.395597,-66.165765,LA MAICA,LA MAICA,1,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-16-908-0826-000,Alma Milla Peralta,5872071 CBBA,Av. Blanco Galindo NÂ° 514,SARCO,2,440,7,290,142,Comercial,3.01.1.51.1033385,617990,926.99,-17.362069,-66.153489,SARCO,SARCO,2,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-20-922-3384-000,Alma Milla Peralta,5872071 CBBA,Av. Melchor PÃ©rez NÂ° 436,QUERU QUERU,8,623,28,925,768,Comercial,3.01.1.20.5908820,837125,1255.69,-17.379876,-66.132862,QUERU QUERU,QUERU QUERU,8,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-09-929-8563-000,Alma Milla Peralta,5872071 CBBA,Av. AmÃ©rica NÂ° 1590,PUKARA GRANDE NORTE,11,328,22,1042,269,Educativo,3.01.1.56.3089640,1792240,2688.36,-17.409641,-66.19463,PUKARA GRANDE NORTE,PUKARA GRANDE NORTE,11,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-12-691-8042-000,Alma Milla Peralta,5872071 CBBA,Av. Melchor PÃ©rez NÂ° 1694,MESADILLA,9,769,49,837,680,Mixto,3.01.1.84.2267104,751626,1127.44,-17.43719,-66.17042,MESADILLA,MESADILLA,9,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-15-905-0077-000,Alma Milla Peralta,5872071 CBBA,Av. AmÃ©rica NÂ° 2773,LACMA,9,527,30,854,843,Mixto,3.01.1.72.2644966,909510,1364.27,-17.365173,-66.167784,LACMA,LACMA,9,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-14-538-9943-000,Ainoa DiÃ©guez Gallart,8601488 CBBA,Av. Beijing NÂ° 3312,LAS CUADRAS,2,136,36,820,500,Industrial,3.01.1.66.8285628,674040,1011.06,-17.386443,-66.179471,LAS CUADRAS,LAS CUADRAS,2,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-09-510-6612-000,Ainoa DiÃ©guez Gallart,8601488 CBBA,Av. AmÃ©rica NÂ° 1251,ARANJUEZ ALTO,11,2,45,524,463,Educativo,3.01.1.80.4389393,614652,921.98,-17.349031,-66.170073,ARANJUEZ ALTO,ARANJUEZ ALTO,11,1,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-12-240-6774-000,Sebastian Arellano Benavente,7506148 CBBA,Av. AmÃ©rica NÂ° 1262,MUYURINA,10,837,10,490,294,Industrial,3.01.1.28.9545214,1088780,1633.17,-17.423006,-66.155669,MUYURINA,MUYURINA,10,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-02-398-2462-000,Sebastian Arellano Benavente,7506148 CBBA,Av. AmÃ©rica NÂ° 1932,SUDESTE,12,73,7,672,142,Salud,3.01.1.61.1288231,1635648,2453.47,-17.435654,-66.178846,SUDESTE,SUDESTE,12,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-01-680-4436-000,Sebastian Arellano Benavente,7506148 CBBA,Av. Blanco Galindo NÂ° 4708,VALLE HERMOSO,4,936,46,1130,131,Educativo,3.01.1.83.3542058,2799010,4198.52,-17.397926,-66.155054,VALLE HERMOSO,VALLE HERMOSO,4,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-09-438-8651-000,Guadalupe del Azcona,7599463 CBBA,Av. AmÃ©rica NÂ° 4168,VILLA BUSCH,2,172,25,184,147,Industrial,3.01.1.61.2987270,434792,652.19,-17.458873,-66.136185,VILLA BUSCH,VILLA BUSH,2,4,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-08-438-3335-000,Guadalupe del Azcona,7599463 CBBA,Av. AmÃ©rica NÂ° 4813,ALALAY SUD,13,912,25,758,91,Industrial,3.01.1.67.7684743,534390,801.59,-17.447372,-66.115918,ALALAY SUD,ALALAY SUD,13,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-06-592-2752-000,Berta Crespi Isern,5565300 CBBA,Av. CircunvalaciÃ³n NÂ° 3622,LAS CUADRAS,13,732,21,214,122,Educativo,3.01.1.55.2559847,223416,335.12,-17.391162,-66.203936,LAS CUADRAS,LAS CUADRAS,13,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-20-628-9848-000,Berta Crespi Isern,5565300 CBBA,Av. AmÃ©rica NÂ° 2914,PUKARA GRANDE NORTE,2,839,45,531,492,Comercial,3.01.1.15.8429176,330282,495.42,-17.433775,-66.109733,PUKARA GRANDE NORTE,PUKARA GRANDE NORTE,2,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-04-098-9074-000,Berta Crespi Isern,5565300 CBBA,Av. Melchor PÃ©rez NÂ° 567,SARCO,7,56,44,496,294,Educativo,3.01.1.16.2310866,1028208,1542.31,-17.421016,-66.125268,SARCO,SARCO,7,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-17-846-9259-000,Berta Crespi Isern,5565300 CBBA,Av. Blanco Galindo NÂ° 4222,LA MAICA,6,263,30,570,421,Salud,3.01.1.16.1630457,1231770,1847.65,-17.405915,-66.163487,LA MAICA,LA MAICA,6,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-18-263-8708-000,Berta Crespi Isern,5565300 CBBA,Av. AmÃ©rica NÂ° 1486,SUDOESTE,11,604,15,460,246,Mixto,3.01.1.75.9207906,881360,1322.04,-17.396846,-66.136023,SUDOESTE,SUDOESTE,11,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-01-539-3038-000,Antonia Vidal Quintana,8412365 CBBA,Av. AmÃ©rica NÂ° 4406,VALLE HERMOSO,1,896,12,647,114,Comercial,3.01.1.63.9131931,1378757,2068.14,-17.393555,-66.190393,VALLE HERMOSO,VALLE HERMOSO,1,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-11-865-7192-000,Antonia Vidal Quintana,8412365 CBBA,Av. Blanco Galindo NÂ° 3453,JAIHUAYCO,8,794,27,974,317,Salud,3.01.1.34.3316000,2306432,3459.65,-17.347275,-66.175084,JAIHUAYCO,JAIHUAYCO,8,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-05-750-9550-000,Antonia Vidal Quintana,8412365 CBBA,Av. Melchor PÃ©rez NÂ° 1609,USPHA USPHA,11,549,37,528,487,Educativo,3.01.1.74.4944923,1181136,1771.7,-17.401155,-66.206137,USPHA USPHA,USPHA USPHA,11,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-20-505-4005-000,Eva MarÃ­a Murillo GarcÃ­a,8377535 CBBA,Av. CircunvalaciÃ³n NÂ° 3339,TICTI,1,486,26,912,160,Salud,3.01.1.32.3679997,2167824,3251.74,-17.442584,-66.106022,TICTI,TICTI,1,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-05-970-8393-000,Eva MarÃ­a Murillo GarcÃ­a,8377535 CBBA,Av. Blanco Galindo NÂ° 409,JAIHUAYCO,13,125,44,457,87,Educativo,3.01.1.89.2768407,988948,1483.42,-17.411562,-66.148457,JAIHUAYCO,JAIHUAYCO,13,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-12-889-4117-000,Custodio MillÃ¡n Cortes,6657471 CBBA,Av. AmÃ©rica NÂ° 2035,ALALAY NORTE,1,232,2,737,638,Educativo,3.01.1.69.6702375,1155616,1733.42,-17.370971,-66.14759,ALALAY NORTE,ALALAY NORTE,1,6,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-13-157-7928-000,Custodio MillÃ¡n Cortes,6657471 CBBA,Av. Melchor PÃ©rez NÂ° 3493,SUDOESTE,13,30,20,401,245,Educativo,3.01.1.14.1619877,651625,977.44,-17.416102,-66.132728,SUDOESTE,SUDOESTE,13,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-17-604-0894-000,Custodio MillÃ¡n Cortes,6657471 CBBA,Av. VillazÃ³n NÂ° 956,CALA CALA,6,164,48,276,85,Educativo,3.01.1.11.3327547,329268,493.9,-17.460492,-66.150569,CALA CALA,CALA CALA,6,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-01-142-4610-000,Custodio MillÃ¡n Cortes,6657471 CBBA,Av. Blanco Galindo NÂ° 1994,ALALAY SUD,10,207,30,893,572,Salud,3.01.1.36.4674365,1867263,2800.89,-17.44981,-66.169427,ALALAY SUD,ALALAY SUD,10,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-04-534-5988-000,Custodio MillÃ¡n Cortes,6657471 CBBA,Av. Beijing NÂ° 3510,USPHA USPHA,2,918,15,1125,712,Industrial,3.01.1.24.3779550,2552625,3828.94,-17.349951,-66.170428,USPHA USPHA,USPHA USPHA,2,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-12-279-6767-000,Norberto DiÃ©guez RÃ­os,8097719 CBBA,Av. Blanco Galindo NÂ° 1383,PUKARA GRANDE NORTE,10,85,46,781,543,Educativo,3.01.1.44.4518361,1422201,2133.3,-17.43279,-66.188225,PUKARA GRANDE NORTE,PUKARA GRANDE NORTE,10,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-07-547-1113-000,Norberto DiÃ©guez RÃ­os,8097719 CBBA,Av. AmÃ©rica NÂ° 757,ALALAY SUD,12,886,14,594,209,Salud,3.01.1.72.1832981,359370,539.06,-17.414258,-66.162198,ALALAY SUD,ALALAY SUD,12,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-12-628-6918-000,Norberto DiÃ©guez RÃ­os,8097719 CBBA,Av. VillazÃ³n NÂ° 533,TAMBORADA PUKARITA,3,23,26,627,415,Comercial,3.01.1.51.8602513,907269,1360.9,-17.450924,-66.161681,TAMBORADA PUKARITA,TAMBORADA PUKARITA,3,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
02-18-898-8517-000,Norberto DiÃ©guez RÃ­os,8097719 CBBA,Av. Blanco Galindo NÂ° 141,CHIQUICOLLO,14,457,25,1199,680,Educativo,3.01.1.43.2070236,2788874,4183.31,-17.431453,-66.120588,CHIQUICOLLO,CHIQUICOLLO,14,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-07-678-4978-000,Tania Arco FrÃ­as,2166133 CBBA,Av. Melchor PÃ©rez NÂ° 1621,LAS CUADRAS,12,873,17,836,797,Mixto,3.01.1.22.1164147,1786532,2679.8,-17.386182,-66.126262,LAS CUADRAS,LAS CUADRAS,12,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-10-231-9653-000,Tania Arco FrÃ­as,2166133 CBBA,Av. Blanco Galindo NÂ° 1124,NORESTE,3,887,16,891,579,Industrial,3.01.1.86.5920546,1142262,1713.39,-17.450677,-66.165028,NORESTE,NORESTE,3,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-05-085-7489-000,Chita Joaquina LledÃ³ Folch,5937496 CBBA,Av. CircunvalaciÃ³n NÂ° 513,SUDOESTE,14,203,1,686,537,Salud,3.01.1.65.2815392,1304772,1957.16,-17.425578,-66.162313,SUDOESTE,SUDOESTE,14,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-17-600-1661-000,Chita Joaquina LledÃ³ Folch,5937496 CBBA,Av. Blanco Galindo NÂ° 2310,LAS CUADRAS,5,469,44,1189,167,Mixto,3.01.1.61.3794350,1605150,2407.72,-17.360388,-66.184066,LAS CUADRAS,LAS CUADRAS,5,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-03-516-9335-000,Chita Joaquina LledÃ³ Folch,5937496 CBBA,Av. AmÃ©rica NÂ° 4513,NORESTE,11,830,27,916,311,Educativo,3.01.1.64.4383863,1372168,2058.25,-17.43892,-66.115358,NORESTE,NORESTE,11,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-12-978-2208-000,Guadalupe Rosado,9592319 CBBA,Av. VillazÃ³n NÂ° 1677,QUERU QUERU ALTO,12,707,7,708,77,Industrial,3.01.1.47.4778315,860220,1290.33,-17.42811,-66.149533,QUERU QUERU ALTO,QUERU QUERU ALTO,12,2,TUNARI,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
12-08-627-7725-000,Guadalupe Rosado,9592319 CBBA,Av. AmÃ©rica NÂ° 2023,LAS CUADRAS,7,787,33,693,680,Residencial,3.01.1.93.3721687,1540539,2310.81,-17.376738,-66.169809,LAS CUADRAS,LAS CUADRAS,7,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-20-493-9963-000,Guadalupe Rosado,9592319 CBBA,Av. AmÃ©rica NÂ° 4186,USPHA USPHA,13,569,6,842,758,Comercial,3.01.1.67.8452193,1822930,2734.39,-17.373328,-66.165467,USPHA USPHA,USPHA USPHA,13,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
01-10-186-8207-000,Balduino SeguÃ­ Morales,5136840 CBBA,Av. AmÃ©rica NÂ° 4231,CHIQUICOLLO,13,903,41,376,50,Residencial,3.01.1.20.8239135,664016,996.02,-17.420702,-66.144959,CHIQUICOLLO,CHIQUICOLLO,13,3,MOLLE,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-08-473-9361-000,Balduino SeguÃ­ Morales,5136840 CBBA,Av. Blanco Galindo NÂ° 3088,SARCO,6,598,6,235,75,Residencial,3.01.1.63.6183905,331585,497.38,-17.412631,-66.172268,SARCO,SARCO,6,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
15-09-498-9951-000,Balduino SeguÃ­ Morales,5136840 CBBA,Av. Melchor PÃ©rez NÂ° 4181,HIPODROMO,14,817,9,1105,318,Comercial,3.01.1.27.7103572,1500590,2250.89,-17.397604,-66.193112,HIPODROMO,HIPÓDROMO,14,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
14-13-686-3262-000,Nacho Oliveras-Robles,6942450 CBBA,Av. Melchor PÃ©rez NÂ° 4451,PUKARA GRANDE OESTE,11,49,50,695,238,Salud,3.01.1.84.9044962,818015,1227.02,-17.403866,-66.182461,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,11,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-08-267-6986-000,Nacho Oliveras-Robles,6942450 CBBA,Av. Beijing NÂ° 3683,SUDESTE,6,377,25,514,183,Residencial,3.01.1.93.4182514,848614,1272.92,-17.447622,-66.102334,SUDESTE,SUDESTE,6,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-01-537-9620-000,Nacho Oliveras-Robles,6942450 CBBA,Av. CircunvalaciÃ³n NÂ° 829,NOROESTE,13,507,9,881,87,Residencial,3.01.1.73.5624293,612295,918.44,-17.353767,-66.148513,NOROESTE,NOROESTE,13,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
07-09-236-2800-000,Guadalupe NuÃ±ez Abad,3234329 CBBA,Av. VillazÃ³n NÂ° 3913,SARCO,7,594,7,268,65,Educativo,3.01.1.87.6976852,328836,493.25,-17.416354,-66.115859,SARCO,SARCO,7,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-05-872-9996-000,Guadalupe NuÃ±ez Abad,3234329 CBBA,Av. VillazÃ³n NÂ° 2571,TUPURAYA,4,156,18,164,121,Mixto,3.01.1.74.8627491,381628,572.44,-17.386533,-66.170264,TUPURAYA,TUPURAYA,4,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-11-505-2421-000,Guadalupe NuÃ±ez Abad,3234329 CBBA,Av. VillazÃ³n NÂ° 419,JAIHUAYCO,7,686,50,1074,789,Educativo,3.01.1.55.8129032,952638,1428.96,-17.447167,-66.16032,JAIHUAYCO,JAIHUAYCO,7,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
10-03-173-9578-000,Guadalupe NuÃ±ez Abad,3234329 CBBA,Av. AmÃ©rica NÂ° 1116,VALLE HERMOSO,3,491,36,602,307,Mixto,3.01.1.14.9667940,1045072,1567.61,-17.402347,-66.205528,VALLE HERMOSO,VALLE HERMOSO,3,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
03-15-488-3432-000,Liliana GarcÃ©s Villalonga,3904659 CBBA,Av. CircunvalaciÃ³n NÂ° 970,USPHA USPHA,15,86,34,1029,376,Mixto,3.01.1.41.8764633,2378019,3567.03,-17.454546,-66.159458,USPHA USPHA,USPHA USPHA,15,8,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
13-10-263-0283-000,Liliana GarcÃ©s Villalonga,3904659 CBBA,Av. AmÃ©rica NÂ° 2906,CALA CALA,13,781,16,1097,285,Educativo,3.01.1.45.9514781,1704738,2557.11,-17.410871,-66.144754,CALA CALA,CALA CALA,13,12,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
04-11-709-4215-000,Liliana GarcÃ©s Villalonga,3904659 CBBA,Av. AmÃ©rica NÂ° 3409,PUKARA GRANDE OESTE,11,396,4,838,582,Industrial,3.01.1.76.2290560,2053100,3079.65,-17.371846,-66.176141,PUKARA GRANDE OESTE,PUKARA GRANDE OESTE,11,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
11-11-309-7910-000,Liliana GarcÃ©s Villalonga,3904659 CBBA,Av. AmÃ©rica NÂ° 2428,NOROESTE,4,47,21,1082,731,Salud,3.01.1.73.7060783,1014916,1522.37,-17.447617,-66.119552,NOROESTE,NOROESTE,4,10,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
05-13-245-0193-000,Liliana GarcÃ©s Villalonga,3904659 CBBA,Av. AmÃ©rica NÂ° 3229,MUYURINA,7,618,43,912,842,Salud,3.01.1.72.8413303,943920,1415.88,-17.399384,-66.168816,MUYURINA,MUYURINA,7,11,ADELA ZAMUDIO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
09-14-081-4895-000,Soraya Grande Vigil,3399733 CBBA,Av. Blanco Galindo NÂ° 943,ALALAY SUD,2,345,31,460,357,Salud,3.01.1.54.5987268,1141720,1712.58,-17.418326,-66.137498,ALALAY SUD,ALALAY SUD,2,7,VALLE HERMOSO,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
08-13-930-8982-000,Soraya Grande Vigil,3399733 CBBA,Av. AmÃ©rica NÂ° 3971,VALLE HERMOSO,6,435,14,679,465,Mixto,3.01.1.50.6984248,626038,939.06,-17.415992,-66.124581,VALLE HERMOSO,VALLE HERMOSO,6,5,ALEJO CALATAYUD,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
06-16-474-6795-000,Soraya Grande Vigil,3399733 CBBA,Av. Beijing NÂ° 217,PUKARA GRANDE SUR,7,93,14,1120,916,Mixto,3.01.1.89.7527995,1551200,2326.8,-17.354364,-66.175587,PUKARA GRANDE SUR,PUKARA GRANDE SUR,7,9,ITOCTA,DISTRITO CORREGIDO POR CATALOGO ZONA-DISTRITO
