numero_contrato,numero_catastro,titular_contrato,ci_titular,categoria,subcategoria,medidor_iot,fecha_contrato,estado_contrato,diametro_conexion,tipo_servicio
CT-00018981,04-10-706-3836-000,Danilo Heriberto Cabello Paniagua,3142102 CBBA,Residencial,R3,EB:70:A7:A3:5B:CA,02/19/18,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00018982,07-07-611-7228-000,Quirino Ródenas Mosquera,9903924 CBBA,Residencial,R3,1E:E2:E3:36:82:C5,09/04/21,ACTIVO,"1/2""",Agua Potable
CT-00018983,15-03-523-2368-000,Alba de Silva,6384008 CBBA,Social,S,A8:73:50:D3:6A:63,03/11/12,CORTADO,"1/2""",Agua Potable
CT-00018984,11-19-067-6856-000,Loreto Moliner,6217575 CBBA,Residencial,R4,2C:A8:33:CE:92:9A,02/16/24,MOROSO,"2""",Agua Potable
CT-00018985,04-17-060-9885-000,Alondra Vázquez Cal,7520256 CBBA,Residencial,R3,B4:D6:A3:67:36:2E,05/08/24,SUSPENDIDO,"1/2""",Agua Potable
CT-00018986,08-17-748-7614-000,Caridad Bernal,8964211 CBBA,Residencial,R2,51:C3:4F:25:57:49,04/30/24,ACTIVO,"1/2""",Agua Potable
CT-00018987,12-05-305-2530-000,Haroldo Olegario Vila Cantón,2048187 CBBA,Residencial,R2,BA:E6:0B:DF:4A:D8,10/24/18,CORTADO,"1/2""",Agua Potable
CT-00018988,03-10-594-8350-000,Consuela Lerma-Alfonso,8361465 CBBA,Comercial,C,19:D2:81:49:0D:9A,12/09/17,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00018989,03-02-758-2763-000,Luz Ponce Campo,3779173 CBBA,Residencial,R4,D4:FB:CE:9F:7D:FF,01/28/26,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00018990,07-18-639-3760-000,Cristian Guzman Santos,4195572 CBBA,Residencial,R4,B4:7E:7B:2A:8B:C2,12/05/20,ACTIVO,"1/2""",Agua Potable
CT-00018991,11-01-984-4461-000,Wálter Pulido Lozano,5620144 CBBA,Social,S,98:43:5B:92:45:76,05/10/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00018992,02-20-804-4916-000,Ignacio del Godoy,5318409 CBBA,Comercial,C,05:9A:35:1D:DA:CB,08/10/24,ACTIVO,"1/2""",Agua Potable
CT-00018993,03-03-355-3161-000,Andrés Moll Cañellas,3578735 CBBA,Comercial,C,A2:26:8C:CF:6E:AE,07/03/21,ACTIVO,"1""",Solo Agua
CT-00018994,08-02-676-2125-000,Jacinta del Trillo,2360336 CBBA,Residencial,R2,9B:EE:AC:A5:09:AF,10/12/15,MOROSO,"1/2""",Agua + Alcantarillado
CT-00018995,05-20-723-3792-000,Roque Garay-Martín,5020847 CBBA,Residencial,R4,91:25:5E:45:1D:F5,08/12/19,MOROSO,"1 1/2""",Agua Potable
CT-00018996,07-07-784-0708-000,Ezequiel de Alegre,2975005 CBBA,Residencial,R4,39:7F:21:16:77:4B,08/04/20,MOROSO,"1/2""",Agua Potable
CT-00018997,12-07-554-8039-000,Margarita Galán Porcel,4288565 CBBA,Industrial,I,74:3C:01:A2:39:93,07/27/23,ACTIVO,"1/2""",Agua Potable
CT-00018998,08-19-600-0196-000,Nadia Juana Castells Diez,2860831 CBBA,Residencial,R1,35:7E:1C:89:F4:02,04/03/19,ACTIVO,"2""",Solo Agua
CT-00018999,06-12-966-5708-000,Édgar Clavero Juliá,1834358 CBBA,Preferencial,P,C9:AC:BA:09:3D:7E,01/12/19,ACTIVO,"1/2""",Agua Potable
CT-00019000,12-04-141-7348-000,Nacho Laguna-Castejón,1481276 CBBA,Comercial Especial,CE,62:65:37:01:9A:96,08/04/20,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019001,10-11-292-6468-000,Natanael Baró Maestre,3489173 CBBA,Preferencial,P,79:74:96:8D:32:B7,05/14/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019002,04-10-091-6264-000,Marcelo Barros Barroso,6885418 CBBA,Comercial,C,D5:9C:EE:3F:6E:F6,05/19/20,MOROSO,"1/2""",Agua + Alcantarillado
CT-00019003,12-20-351-1282-000,Albert Arroyo Ramírez,7682957 CBBA,Residencial,R2,EF:AC:0B:36:53:EE,09/23/12,ACTIVO,"3/4""",Agua Potable
CT-00019004,03-05-534-6609-000,Eugenia Ximena Perelló Flores,3568134 CBBA,Residencial,R3,78:FE:BD:0C:2E:60,03/17/20,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019005,13-13-741-2830-000,Ovidio Llobet Alcalde,7645839 CBBA,Comercial,C,B0:13:3D:91:3D:D2,05/09/22,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00019006,10-18-107-8206-000,Joan Olivares Peñalver,6718340 CBBA,Residencial,R4,5D:2F:EA:FE:B4:6B,01/02/25,SUSPENDIDO,"1/2""",Agua Industrial
CT-00019007,05-11-512-9838-000,Sancho Salas Cid,2963705 CBBA,Residencial,R3,CA:72:8B:F9:DC:F2,09/23/16,ACTIVO,"1""",Agua Potable
CT-00019008,10-04-045-1823-000,Paulina de Verdejo,9911844 CBBA,Residencial,R1,97:90:FB:03:26:49,04/30/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019009,09-11-659-6892-000,Ricarda Villar Vilar,1795527 CBBA,Residencial,R1,A2:EE:61:FB:21:0A,08/27/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019010,06-11-862-4357-000,Vicente Vega-Marin,5854191 CBBA,Residencial,R4,1B:74:70:DF:B2:6D,10/20/25,MOROSO,"1 1/2""",Solo Agua
CT-00019011,14-16-295-3978-000,Germán de Garriga,1282890 CBBA,Residencial,R4,46:C6:31:1D:D7:EF,07/27/25,ACTIVO,"1/2""",Agua Potable
CT-00019012,01-13-934-7742-000,Leocadia Madrid Araujo,8639840 CBBA,Industrial,I,2F:07:78:38:7B:1B,04/13/25,MOROSO,"1/2""",Solo Agua
CT-00019013,01-05-373-5783-000,Mohamed Ruiz Giménez,3486299 CBBA,Residencial,R3,A4:D3:0A:A6:01:53,08/04/11,SUSPENDIDO,"1/2""",Agua + Alcantarillado
CT-00019014,06-18-712-8972-000,Consuela Perelló Verdú,5802217 CBBA,Residencial,R2,00:EE:EB:62:E6:30,08/18/17,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00019015,06-20-848-2585-000,Lourdes Nevado Solera,4186095 CBBA,Residencial,R2,DD:C4:56:82:2F:18,01/18/17,ACTIVO,"1/2""",Agua Potable
CT-00019016,13-12-374-1213-000,Jovita Agustín Balaguer,4276684 CBBA,Residencial,R4,30:5D:27:C9:32:B1,07/03/21,ACTIVO,"1/2""",Agua Potable
CT-00019017,04-07-792-3710-000,Benita Tamarit Fiol,6560471 CBBA,Residencial,R1,C8:7E:38:1A:83:C1,05/05/24,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00019018,02-18-830-7024-000,Hector Silva Lobato,7819896 CBBA,Residencial,R4,46:0D:31:37:E5:3F,11/15/19,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019019,03-20-215-4883-000,Eleuterio Castellanos Castelló,9138665 CBBA,Residencial,R2,9C:39:58:F7:DD:45,03/01/23,SUSPENDIDO,"1/2""",Solo Agua
CT-00019020,03-05-178-0867-000,Araceli Julie Colom Alcázar,6518006 CBBA,Comercial,C,B1:60:02:38:BE:E4,03/10/16,ACTIVO,"1""",Agua + Alcantarillado
CT-00019021,07-14-824-4831-000,Rico Sastre Pomares,1388626 CBBA,Residencial,R1,94:F2:F7:A7:4B:A5,08/25/14,MOROSO,"3/4""",Agua Potable
CT-00019022,09-08-518-1652-000,Florentina de Bauzà,4542245 CBBA,Residencial,R1,91:68:AE:78:4B:8A,08/14/25,ACTIVO,"1/2""",Agua Potable
CT-00019023,03-09-819-8983-000,Ariel Roldan Menéndez,9776126 CBBA,Residencial,R1,E5:03:65:73:16:F9,12/01/12,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019024,03-11-477-5207-000,Pastora Gámez Escalona,3270486 CBBA,Comercial,C,6E:28:1B:54:EC:0B,11/29/22,ACTIVO,"1 1/2""",Agua Potable
CT-00019025,09-13-550-7731-000,Pacífica Asenjo Manzanares,3420266 CBBA,Residencial,R1,60:54:2E:5A:CC:2F,02/08/22,ACTIVO,"3""",Agua Potable
CT-00019026,09-09-028-4679-000,Abel Manrique Trujillo,6821600 CBBA,Residencial,R4,2F:C4:C9:53:FF:9E,09/13/19,ACTIVO,"1/2""",Agua Industrial
CT-00019027,03-02-006-8348-000,Dorita Edelmira Nieto Cordero,4623364 CBBA,Residencial,R2,FC:B6:D2:C0:73:20,01/15/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019028,09-10-483-9064-000,Guillermo Salvador-Ribas,9559281 CBBA,Residencial,R3,B6:2D:E2:1A:AB:70,10/09/22,ACTIVO,"1/2""",Agua Potable
CT-00019029,04-07-482-3202-000,Eli Manuel Bonilla,8681338 CBBA,Residencial,R3,10:FC:8F:34:F4:67,01/19/26,ACTIVO,"1/2""",Agua Potable
CT-00019030,12-08-173-9415-000,Heliodoro Machado Ayllón,3677362 CBBA,Residencial,R2,37:32:E0:A8:BF:FD,07/30/11,MOROSO,"1/2""",Agua Potable
CT-00019031,08-14-386-2592-000,Cesar Izquierdo Cerro,3688141 CBBA,Residencial,R3,69:E0:3E:21:75:83,12/28/12,ACTIVO,"3/4""",Agua Potable
CT-00019032,15-20-488-5842-000,Selena Pombo,8336232 CBBA,Residencial,R2,0D:7D:E1:B7:FB:2D,10/24/20,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00019033,11-06-570-2400-000,Rafa Romeu Valenzuela,1040290 CBBA,Comercial,C,01:45:48:44:6C:E2,07/25/18,ACTIVO,"1/2""",Agua Industrial
CT-00019034,05-04-606-6704-000,Cruz Luís-Bou,7073934 CBBA,Comercial,C,AC:A8:F4:66:1D:E7,02/07/16,ACTIVO,"1 1/2""",Agua Potable
CT-00019035,01-08-873-8581-000,Yéssica Bou Sebastián,2173730 CBBA,Residencial,R1,B0:CB:88:8E:96:AB,10/05/21,ACTIVO,"1""",Agua Potable
CT-00019036,02-13-046-5756-000,Melania Isabel Zaragoza Landa,9210302 CBBA,Residencial,R1,C5:DD:9A:90:C2:A6,05/06/26,ACTIVO,"3""",Agua Potable
CT-00019037,03-03-441-8340-000,Teófilo Cervera Toledo,4992420 CBBA,Residencial,R1,F5:8D:95:04:62:56,03/03/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019038,05-11-776-1920-000,Alicia de Segura,9644162 CBBA,Residencial,R1,E7:D6:3C:0E:C6:0E,08/04/11,ACTIVO,"1/2""",Agua Potable
CT-00019039,10-06-917-9151-000,Bernabé Alegria-Marcos,3690274 CBBA,Residencial,R4,0D:C6:A1:10:2A:3D,02/12/26,ACTIVO,"1/2""",Solo Agua
CT-00019040,13-01-113-0229-000,Zacarías Tello,4464587 CBBA,Residencial,R1,BD:9A:34:82:AB:98,03/12/21,ACTIVO,"1/2""",Agua Potable
CT-00019041,09-16-502-1461-000,Modesto Duran Artigas,6401732 CBBA,Residencial,R1,CE:72:0B:78:11:37,04/26/16,ACTIVO,"1/2""",Agua Potable
CT-00019042,10-12-043-1259-000,Custodia Jesusa Leon Pazos,2070372 CBBA,Residencial,R3,C8:43:7D:4B:98:F4,12/11/17,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019043,15-05-037-3181-000,Azahara Roxana Bilbao Cánovas,8792611 CBBA,Residencial,R1,C5:FD:71:BC:D9:0D,01/24/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019044,03-08-765-5060-000,Dalila Hierro-Girón,7429840 CBBA,Residencial,R3,61:11:95:7D:85:B6,01/04/22,SUSPENDIDO,"1""",Agua + Alcantarillado
CT-00019045,07-20-965-6056-000,Encarna Alberto Iriarte,3675622 CBBA,Residencial,R1,61:1F:AF:90:2E:7F,06/20/16,SUSPENDIDO,"1/2""",Agua Potable
CT-00019046,12-05-373-3227-000,Aroa Jovita Hervás Lastra,2658834 CBBA,Residencial,R3,EA:63:FE:51:C8:45,09/16/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019047,14-20-510-7238-000,Octavia Valverde Casanova,9647926 CBBA,Residencial,R3,5A:29:1B:2F:6F:54,01/07/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019048,14-08-182-1097-000,Lalo Huerta Mancebo,5470927 CBBA,Residencial,R1,20:A5:C3:53:D3:32,10/25/18,ACTIVO,"1/2""",Agua Potable
CT-00019049,05-04-197-8386-000,Rosalina Patricia Palomino Atienza,1190849 CBBA,Comercial Especial,CE,09:BB:B9:28:FC:04,02/26/25,SUSPENDIDO,"1/2""",Agua Potable
CT-00019050,06-17-564-9084-000,Danilo Villar-Cabrera,4183149 CBBA,Comercial,C,41:0D:F1:DD:B4:F7,02/28/15,MOROSO,"1/2""",Agua + Alcantarillado
CT-00019051,11-18-099-6653-000,Telmo Barceló,2008703 CBBA,Residencial,R4,9B:A4:77:84:6C:15,03/31/13,ACTIVO,"1/2""",Agua Potable
CT-00019052,07-01-476-9758-000,Nicolasa Ríos Carreras,9993448 CBBA,Residencial,R4,55:4D:10:BB:54:29,10/18/17,ACTIVO,"1 1/2""",Agua Potable
CT-00019053,04-05-963-8521-000,Judith Baquero Cabanillas,8375467 CBBA,Residencial,R4,0A:F0:8C:42:D6:C8,08/13/21,ACTIVO,"1/2""",Agua Potable
CT-00019054,12-12-386-5209-000,Sara Ferrán,2879866 CBBA,Residencial,R4,C9:90:82:59:D4:E8,01/20/15,ACTIVO,"1/2""",Agua Potable
CT-00019055,12-07-567-7131-000,Raúl Leal Lillo,4380664 CBBA,Residencial,R4,47:DC:A7:8B:D3:71,10/09/15,ACTIVO,"1 1/2""",Agua Potable
CT-00019056,14-20-956-4370-000,Berto Otero Llanos,9653682 CBBA,Residencial,R2,6C:9A:E1:17:6F:36,08/06/24,CORTADO,"1/2""",Agua Potable
CT-00019057,13-08-595-9049-000,María Ángeles Girón,1326528 CBBA,Residencial,R2,2D:F8:CA:F2:BF:4F,08/05/19,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019058,04-08-143-0161-000,Alex Pagès Viña,7864301 CBBA,Residencial,R2,10:47:6C:10:9F:D8,11/18/18,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019059,14-12-912-1370-000,Enrique Nogués Pizarro,1954153 CBBA,Residencial,R4,F7:55:19:6B:07:42,04/11/26,SUSPENDIDO,"3/4""",Agua + Alcantarillado
CT-00019060,05-16-106-2394-000,Remigio Hernán Amador Domínguez,3164072 CBBA,Residencial,R1,3F:5C:34:57:CE:C5,10/23/17,ACTIVO,"1""",Agua + Alcantarillado
CT-00019061,07-10-641-4557-000,Consuela Fabra Vazquez,2279617 CBBA,Residencial,R4,A0:61:54:1B:B2:EB,11/15/18,ACTIVO,"3/4""",Solo Agua
CT-00019062,09-05-630-7494-000,Evangelina Peña,1592512 CBBA,Residencial,R2,22:6D:49:CD:3F:97,09/29/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019063,07-16-863-4190-000,Renato Pelayo Chaparro,6800884 CBBA,Residencial,R1,9B:AD:F0:C1:55:F0,10/28/23,CORTADO,"3/4""",Agua + Alcantarillado
CT-00019064,03-08-599-6664-000,Juana de Revilla,4854399 CBBA,Residencial,R4,FC:5F:31:47:3C:55,02/04/26,ACTIVO,"1/2""",Solo Agua
CT-00019065,07-04-299-2282-000,Tristán Rozas Silva,1630147 CBBA,Preferencial,P,FC:F8:44:B2:63:AC,02/21/23,ACTIVO,"1/2""",Agua Potable
CT-00019066,14-04-566-8167-000,Hugo Cañas Lastra,8396264 CBBA,Comercial,C,5B:FC:68:A5:A4:C2,08/15/23,ACTIVO,"1 1/2""",Agua Potable
CT-00019067,15-11-698-5774-000,Andrea del Boada,2222987 CBBA,Residencial,R3,C8:79:EC:7E:73:59,06/15/14,ACTIVO,"1/2""",Agua Potable
CT-00019068,08-16-709-8356-000,Guadalupe Escolano Valenzuela,8038137 CBBA,Residencial,R2,FB:54:3D:58:FB:67,07/17/20,ACTIVO,"1/2""",Agua Potable
CT-00019069,14-15-631-5291-000,María Campos Teruel,6988921 CBBA,Comercial Especial,CE,82:3E:D7:E7:41:A8,10/06/14,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019070,11-14-659-8750-000,José María Lorenzo Barceló,2875789 CBBA,Residencial,R2,F4:F8:5F:72:3B:72,11/20/17,ACTIVO,"1 1/2""",Agua Potable
CT-00019071,01-13-301-9869-000,Lupe Pareja Salas,9302575 CBBA,Residencial,R3,67:EB:20:2E:AA:7E,08/09/14,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019072,15-11-698-6033-000,Rafa de Canales,5199502 CBBA,Residencial,R2,64:20:2C:EE:3D:C9,07/28/23,ACTIVO,"3/4""",Agua Potable
CT-00019073,05-16-250-2420-000,Juan Luis Narváez Infante,5576356 CBBA,Residencial,R3,A4:4E:93:29:49:F8,03/23/14,ACTIVO,"1/2""",Agua Industrial
CT-00019074,13-10-320-1804-000,Javier Bilbao Exposito,8862945 CBBA,Comercial,C,4F:61:4C:73:73:78,11/18/23,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00019075,14-09-479-0928-000,Ciro Grande Villar,5062357 CBBA,Residencial,R2,CE:CB:F9:DC:5F:B9,02/17/18,ACTIVO,"1/2""",Solo Agua
CT-00019076,09-04-037-2501-000,Josué Nogueira Alcalde,4976451 CBBA,Residencial,R2,81:CE:92:BA:08:D0,06/07/18,ACTIVO,"1/2""",Agua Potable
CT-00019077,03-08-229-8440-000,Paz Vélez Roig,5360328 CBBA,Residencial,R2,70:58:74:F1:94:F7,04/27/24,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019078,03-02-367-8394-000,Zacarías Fajardo-Sebastián,3063132 CBBA,Residencial,R2,5B:FE:FD:E6:F7:3F,06/13/23,ACTIVO,"3/4""",Agua Potable
CT-00019079,15-11-194-5385-000,Bienvenida Corral Buendía,3063177 CBBA,Residencial,R2,B3:D4:FB:65:74:0B,08/13/16,INACTIVO,"1/2""",Agua Potable
CT-00019080,03-07-468-0549-000,Herminia del Mayoral,8101732 CBBA,Residencial,R4,7E:92:E2:17:54:1C,06/25/17,MOROSO,"1""",Agua Potable
CT-00019081,07-03-133-4668-000,Jerónimo Hoyos Martínez,9283298 CBBA,Residencial,R2,7A:B9:83:E8:42:08,10/28/15,ACTIVO,"3/4""",Agua Potable
CT-00019082,04-14-617-7898-000,Ildefonso Artemio Olmo Lago,2632413 CBBA,Residencial,R3,AE:E7:DF:40:1B:30,02/21/26,ACTIVO,"1 1/2""",Agua + Alcantarillado
CT-00019083,08-08-629-1986-000,Paco Heredia Moraleda,3966377 CBBA,Comercial,C,59:E7:40:42:7C:E8,07/03/16,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019084,08-05-945-6381-000,Sigfrido Osorio,3103331 CBBA,Comercial Especial,CE,94:27:93:46:80:9C,12/27/22,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019085,15-03-460-4033-000,Rosalía Bermudez,1510668 CBBA,Comercial,C,17:3B:C3:EC:27:10,08/18/12,ACTIVO,"1/2""",Agua Potable
CT-00019086,10-16-912-6371-000,Rogelio Ruiz Morcillo,4950273 CBBA,Comercial,C,53:AC:6F:A7:35:82,02/02/21,SUSPENDIDO,"1/2""",Agua Potable
CT-00019087,11-20-622-5881-000,Griselda Amores Valls,9838307 CBBA,Comercial,C,FB:BF:79:E3:0F:69,12/18/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019088,10-05-803-7716-000,Esteban de Benitez,1392642 CBBA,Residencial,R4,96:54:C7:9B:D2:E2,01/23/23,ACTIVO,"1/2""",Agua Potable
CT-00019089,13-08-504-6319-000,Mateo Abad Blanch,7706449 CBBA,Comercial,C,69:81:52:4F:EE:95,11/07/11,SUSPENDIDO,"1/2""",Solo Agua
CT-00019090,07-05-785-1868-000,Dionisia Aguilera Ribes,4610785 CBBA,Residencial,R1,34:23:E0:2D:56:0C,01/03/25,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019091,08-02-142-9152-000,Abigaíl de Juan,1579431 CBBA,Residencial,R3,94:F8:18:24:02:FE,12/13/12,MOROSO,"1/2""",Agua Potable
CT-00019092,02-11-874-1286-000,Inmaculada Roxana Galiano Macías,7940080 CBBA,Residencial,R4,04:61:D8:BD:A2:1F,09/01/21,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019093,03-19-866-0735-000,Vera Varela Quesada,6365282 CBBA,Preferencial,P,09:84:AF:36:6F:1B,11/08/15,SUSPENDIDO,"1/2""",Solo Agua
CT-00019094,10-15-162-5991-000,María Del Carmen Ayuso Salinas,9186905 CBBA,Residencial,R3,BA:FE:38:61:13:4F,12/15/22,ACTIVO,"1/2""",Solo Agua
CT-00019095,11-04-966-7420-000,Lisandro Vera Calzada,2674941 CBBA,Residencial,R4,CC:4B:25:44:9B:99,04/13/17,ACTIVO,"2""",Agua + Alcantarillado
CT-00019096,08-19-466-9366-000,Wilfredo Pintor Salazar,2896639 CBBA,Comercial,C,DF:F7:12:1C:68:AF,07/22/19,ACTIVO,"1/2""",Solo Agua
CT-00019097,04-09-142-5327-000,Aarón del Posada,8537850 CBBA,Residencial,R2,C2:6D:62:AF:58:A5,04/28/19,CORTADO,"1""",Agua Potable
CT-00019098,02-06-260-9827-000,Cristian Paz Prat,4812873 CBBA,Preferencial,P,5F:CC:D3:59:CA:CB,04/22/24,MOROSO,"1/2""",Solo Agua
CT-00019099,13-02-877-2305-000,Gastón Tejera Feliu,6058914 CBBA,Residencial,R2,D6:DE:D9:AE:5D:A7,04/06/17,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019100,07-02-218-2001-000,Laura Toro,1824247 CBBA,Residencial,R4,6B:CC:4A:59:EF:40,04/12/21,ACTIVO,"3/4""",Agua Potable
CT-00019101,03-14-858-4516-000,Heliodoro Tejero Mur,7506417 CBBA,Residencial,R1,97:6E:5C:1F:62:A8,03/26/12,ACTIVO,"1/2""",Agua Potable
CT-00019102,09-13-477-1337-000,Pastor Asenjo,8998115 CBBA,Residencial,R2,39:98:CF:22:8C:0E,02/04/19,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019103,15-15-281-5552-000,Ema Otilia Ruiz Villa,5423229 CBBA,Industrial,I,C2:52:D7:CB:D1:C0,04/21/16,ACTIVO,"2""",Agua Potable
CT-00019104,05-06-536-9289-000,Lucho Álvarez Blanes,3093469 CBBA,Residencial,R3,00:6B:07:91:C5:DF,07/13/23,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019105,11-07-955-6226-000,Carlos Omar Sáez Pujol,2201826 CBBA,Residencial,R2,F4:29:2B:1A:00:58,03/27/25,ACTIVO,"1/2""",Solo Agua
CT-00019106,09-13-158-5839-000,Marcio Martínez Morera,8024466 CBBA,Comercial,C,34:23:D3:2C:82:C5,11/16/17,ACTIVO,"1/2""",Agua Potable
CT-00019107,07-14-415-7463-000,Asdrubal Barco Barrio,7824292 CBBA,Residencial,R4,AE:BE:8D:9B:D3:38,04/25/17,ACTIVO,"2""",Agua + Alcantarillado
CT-00019108,06-10-537-8453-000,Régulo León Aguilar Cuenca,8846144 CBBA,Residencial,R2,73:4A:50:21:3B:9D,12/17/23,ACTIVO,"2""",Agua + Alcantarillado
CT-00019109,07-05-120-7055-000,Manolo Carmona Gil,7827159 CBBA,Residencial,R1,99:D8:3E:2B:9E:2B,02/28/14,ACTIVO,"1/2""",Agua Potable
CT-00019110,03-13-791-0453-000,Leandra Soria-Collado,8001465 CBBA,Residencial,R4,66:D9:7C:C7:9C:DA,11/24/11,ACTIVO,"1/2""",Agua Potable
CT-00019111,13-20-042-2105-000,Loida de Roma,1035428 CBBA,Residencial,R4,9C:84:F6:BB:C8:96,11/20/19,ACTIVO,"1/2""",Solo Agua
CT-00019112,13-04-756-8502-000,Otilia de Casals,2884463 CBBA,Residencial,R4,DF:7C:23:22:4D:EA,03/19/25,ACTIVO,"3/4""",Agua Potable
CT-00019113,12-17-031-7120-000,Verónica Pinedo Bolaños,4240893 CBBA,Residencial,R4,98:BB:DF:3E:07:6D,12/13/13,SUSPENDIDO,"3/4""",Agua Potable
CT-00019114,15-14-254-0685-000,Samanta Delia Benavent Recio,5814010 CBBA,Residencial,R2,99:77:49:22:BB:07,02/24/15,ACTIVO,"1""",Agua + Alcantarillado
CT-00019115,12-01-605-0113-000,Petrona Miró Carrión,5945131 CBBA,Comercial Especial,CE,56:E6:B3:81:E3:37,12/25/17,ACTIVO,"1/2""",Agua Potable
CT-00019116,11-02-780-3603-000,Noemí de Rovira,1844448 CBBA,Social,S,D0:40:63:65:17:8E,08/07/13,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019117,06-20-384-1153-000,Aránzazu Catalina Zurita Campo,5123437 CBBA,Residencial,R1,1E:FC:C5:62:5B:3A,09/05/16,ACTIVO,"3/4""",Agua + Alcantarillado
CT-00019118,03-11-036-9855-000,Josefina Agustí Palomino,8561070 CBBA,Comercial Especial,CE,8A:B7:61:B8:C6:94,03/29/14,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019119,15-09-245-3800-000,Cristian Cañizares,4453763 CBBA,Residencial,R3,B7:9C:72:EC:36:6B,02/20/25,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019120,04-07-134-3893-000,Esmeralda Guzmán Flores,8984813 CBBA,Residencial,R4,3F:4A:86:91:84:88,06/26/17,INACTIVO,"1/2""",Agua + Alcantarillado
CT-00019121,07-03-271-5915-000,Julio Cal,7907367 CBBA,Residencial,R1,8B:51:3C:B8:90:85,03/16/26,ACTIVO,"1/2""",Solo Agua
CT-00019122,11-08-882-0571-000,Encarnita Aroa Dominguez Tamarit,9625022 CBBA,Comercial,C,39:A8:22:9F:66:8D,08/24/18,ACTIVO,"1/2""",Agua + Alcantarillado
CT-00019123,01-15-776-0965-000,Vilma Méndez Osuna,1889853 CBBA,Social,S,C3:CC:AA:48:A1:E0,04/29/14,ACTIVO,"1/2""",Agua Potable
CT-00019124,03-12-504-9555-000,María Teresa Calzada Asenjo,7215713 CBBA,Comercial Especial,CE,0A:A6:10:8F:D4:8A,08/06/19,ACTIVO,"1/2""",Agua Potable
CT-00019125,02-04-529-8453-000,Prudencio Cabezas,1855053 CBBA,Residencial,R1,B7:B8:7A:C8:DD:D7,12/09/25,ACTIVO,"1/2""",Agua Potable
CT-00019126,05-10-460-6930-000,Basilio Bosch Rozas,7643551 CBBA,Residencial,R1,CF:AA:CC:8D:AF:C2,03/08/12,ACTIVO,"1/2""",Agua Potable
CT-00019127,15-10-471-9086-000,Amarilis Rios,6913295 CBBA,Residencial,R2,3E:6A:0E:C0:E1:68,05/27/22,MOROSO,"1/2""",Agua Potable
CT-00019128,08-05-415-2890-000,Humberto del Perea,5185930 CBBA,Residencial,R2,95:CE:20:57:E0:41,12/20/23,ACTIVO,"3/4""",Agua Industrial
CT-00019129,01-05-652-1679-000,Susanita del Vilar,3700663 CBBA,Preferencial,P,03:F3:09:A5:B8:26,01/15/16,MOROSO,"1/2""",Agua Potable
CT-00019130,06-02-292-0887-000,Lisandro Borrell,5622290 CBBA,Residencial,R4,96:A9:5C:17:A8:BD,11/28/15,MOROSO,"1/2""",Agua Potable
CT-00019131,04-06-743-3265-000,Tamara Quintanilla Ramírez,3147793 CBBA,Residencial,R3,0C:B5:46:98:85:AF,11/19/13,CORTADO,"1 1/2""",Agua Potable
CT-00019132,14-09-417-6141-000,Dan Arroyo-Acevedo,3586186 CBBA,Residencial,R3,A1:9F:86:25:AC:49,06/11/24,CORTADO,"1/2""",Agua Potable
