numero_catastro,propietario,ci,direccion,zona,distrito,manzano,lote,superficie_terreno,area_construida,uso_suelo,matricula_ddrr,valor_catastral,impuesto_anual,latitud,longitud
12-18-492-0701-000,Pelayo Hurtado Larrea,6264881 CBBA,Av. América N° 2426,USPHA USPHA,12,461,29,816,407,Residencial,3.01.1.95.5559959,1650768,2476.15,-17.382686,-66.14322
06-01-637-5759-000,Pelayo Hurtado Larrea,6264881 CBBA,Av. Melchor Pérez N° 1866,LA MAICA,10,256,50,338,56,Industrial,3.01.1.68.4759703,663494,995.24,-17.45719,-66.150094
07-20-981-1594-000,Pelayo Hurtado Larrea,6264881 CBBA,Av. Melchor Pérez N° 1763,PUKARA GRANDE OESTE,4,638,5,620,391,Educativo,3.01.1.30.9411130,885360,1328.04,-17.359382,-66.175179
11-02-408-1696-000,Eli Campoy-Bautista,4394626 CBBA,Av. Melchor Pérez N° 2294,NORESTE,10,315,36,985,771,Industrial,3.01.1.81.4151231,656995,985.49,-17.464852,-66.144904
02-11-189-8058-000,Eli Campoy-Bautista,4394626 CBBA,Av. Melchor Pérez N° 657,PUKARA GRANDE SUR,1,209,46,905,331,Comercial,3.01.1.90.8313464,1307725,1961.59,-17.454302,-66.162765
14-06-490-9958-000,Eli Campoy-Bautista,4394626 CBBA,Av. Circunvalación N° 4495,TICTI,1,227,19,229,55,Industrial,3.01.1.34.3213717,534715,802.07,-17.416134,-66.19248
02-11-514-1136-000,Eli Campoy-Bautista,4394626 CBBA,Av. Beijing N° 2809,LACMA,8,872,45,368,200,Residencial,3.01.1.34.9506500,821376,1232.06,-17.415833,-66.191108
13-03-024-5178-000,Eli Campoy-Bautista,4394626 CBBA,Av. Villazón N° 4495,HIPODROMO,15,166,50,885,497,Industrial,3.01.1.46.3250953,2055855,3083.78,-17.431891,-66.182394
03-20-328-8166-000,Jose Miguel Quiroga Saavedra,2677106 CBBA,Av. Circunvalación N° 2244,NOROESTE,9,322,15,975,392,Comercial,3.01.1.46.2772924,1164150,1746.23,-17.431235,-66.16726
12-19-046-5364-000,Jose Miguel Quiroga Saavedra,2677106 CBBA,Av. Villazón N° 311,ALALAY NORTE,15,830,11,1119,845,Residencial,3.01.1.60.2169326,1261113,1891.67,-17.420408,-66.181007
07-05-877-6350-000,Jose Miguel Quiroga Saavedra,2677106 CBBA,Av. Blanco Galindo N° 2906,LACMA,14,753,14,545,202,Comercial,3.01.1.70.2396188,739020,1108.53,-17.347916,-66.164634
09-11-705-1722-000,Fermín Bernardo Vélez Herrera,4536268 CBBA,Av. América N° 4140,KHARA KHARA ARRUMANI,8,578,26,177,141,Salud,3.01.1.47.3343475,159300,238.95,-17.425464,-66.114439
13-10-078-5557-000,Fermín Bernardo Vélez Herrera,4536268 CBBA,Av. América N° 574,ARANJUEZ ALTO,2,471,19,293,161,Mixto,3.01.1.52.1218628,216234,324.35,-17.439702,-66.156708
09-19-557-6527-000,Sara Lledó,6489122 CBBA,Av. Beijing N° 4051,VILLA BUSCH,4,596,32,230,91,Salud,3.01.1.21.7262113,415840,623.76,-17.390243,-66.16234
12-12-706-1306-000,Sara Lledó,6489122 CBBA,Av. Blanco Galindo N° 4497,SUDOESTE,4,317,8,247,63,Educativo,3.01.1.16.2695265,485849,728.77,-17.385778,-66.124876
14-15-648-8127-000,Sara Lledó,6489122 CBBA,Av. Circunvalación N° 4559,MAYORAZGO,10,488,28,809,389,Mixto,3.01.1.49.6683886,2012792,3019.19,-17.373657,-66.152556
07-15-093-7760-000,Sara Lledó,6489122 CBBA,Av. Melchor Pérez N° 1929,PUKARA GRANDE NORTE,2,249,20,242,99,Industrial,3.01.1.66.2380651,311938,467.91,-17.452022,-66.133865
04-17-685-4220-000,Sara Lledó,6489122 CBBA,Av. Melchor Pérez N° 1506,SUDESTE,14,944,5,1086,254,Industrial,3.01.1.69.7988652,1620312,2430.47,-17.409843,-66.197683
11-17-490-5689-000,Belen Aguilera-Moliner,2777919 CBBA,Av. Melchor Pérez N° 3069,LA CHIMBA,14,711,37,1000,214,Residencial,3.01.1.15.7713099,1350000,2025.0,-17.363159,-66.181973
05-11-611-1789-000,Belen Aguilera-Moliner,2777919 CBBA,Av. Blanco Galindo N° 3303,SARCO,4,908,3,1060,1003,Salud,3.01.1.57.8737090,1884680,2827.02,-17.391765,-66.126675
15-15-638-0161-000,Belen Aguilera-Moliner,2777919 CBBA,Av. Melchor Pérez N° 3660,LA CHIMBA,8,33,5,535,515,Mixto,3.01.1.90.5455546,1022920,1534.38,-17.432676,-66.155714
01-18-247-6426-000,Gema Mena Fabregat,5567197 CBBA,Av. Blanco Galindo N° 3961,MAYORAZGO,6,169,6,321,256,Industrial,3.01.1.66.4992601,777141,1165.71,-17.449585,-66.11501
08-02-039-0092-000,Gema Mena Fabregat,5567197 CBBA,Av. América N° 401,CONDEBAMBA,8,948,14,292,173,Comercial,3.01.1.64.4995290,559180,838.77,-17.459223,-66.131697
05-08-204-7343-000,Noemí Griselda Samper Morante,6101675 CBBA,Av. Melchor Pérez N° 960,SUDESTE,11,963,18,217,77,Salud,3.01.1.44.1362636,144088,216.13,-17.39285,-66.179997
04-18-186-3481-000,Noemí Griselda Samper Morante,6101675 CBBA,Av. América N° 4970,TAMBORADA PUKARITA,10,520,35,664,157,Residencial,3.01.1.61.8740393,1004632,1506.95,-17.359326,-66.16473
09-08-381-9766-000,Juan Antonio Ayllón,1080740 CBBA,Av. América N° 1777,MAYORAZGO,4,290,9,760,107,Residencial,3.01.1.77.3978165,685520,1028.28,-17.427394,-66.178341
05-08-402-3289-000,Juan Antonio Ayllón,1080740 CBBA,Av. Circunvalación N° 2810,SARCO,15,984,8,795,599,Residencial,3.01.1.59.7847361,1882560,2823.84,-17.427091,-66.194129
11-08-858-6211-000,Juan Antonio Ayllón,1080740 CBBA,Av. Villazón N° 1343,COÑA COÑA,8,756,13,1064,703,Mixto,3.01.1.72.1145893,974624,1461.94,-17.42222,-66.156301
02-15-823-3320-000,Isaura Valero Prat,6953731 CBBA,Av. Villazón N° 357,SUDESTE,7,410,6,783,307,Industrial,3.01.1.75.2437931,588033,882.05,-17.391335,-66.205672
04-10-448-2839-000,Isaura Valero Prat,6953731 CBBA,Av. Melchor Pérez N° 4546,CHIQUICOLLO,15,76,22,1077,312,Mixto,3.01.1.39.8502015,2188464,3282.7,-17.438062,-66.108174
08-06-200-9781-000,Isaura Valero Prat,6953731 CBBA,Av. Blanco Galindo N° 3991,VALLE HERMOSO OESTE,15,628,29,771,270,Industrial,3.01.1.92.6490575,1837293,2755.94,-17.456297,-66.125452
10-09-793-5600-000,Isaura Valero Prat,6953731 CBBA,Av. Beijing N° 3633,SUDOESTE,14,129,48,1036,751,Industrial,3.01.1.28.8235044,2121728,3182.59,-17.456731,-66.127773
05-14-661-1121-000,Isaura Valero Prat,6953731 CBBA,Av. Blanco Galindo N° 957,NOROESTE,13,740,4,1172,1000,Mixto,3.01.1.70.8437169,1617360,2426.04,-17.397994,-66.170451
15-01-774-0112-000,Juan José Toribio Ordóñez Ferreras,4202797 CBBA,Av. Melchor Pérez N° 4257,CONDEBAMBA,13,526,45,741,581,Salud,3.01.1.54.3928679,666900,1000.35,-17.430871,-66.169744
08-09-839-7901-000,Juan José Toribio Ordóñez Ferreras,4202797 CBBA,Av. Melchor Pérez N° 2779,JAIHUAYCO,11,315,10,811,60,Comercial,3.01.1.90.7529317,1797176,2695.76,-17.384168,-66.132567
09-20-982-4294-000,Juan José Toribio Ordóñez Ferreras,4202797 CBBA,Av. América N° 1833,MUYURINA,10,875,14,1047,915,Comercial,3.01.1.81.5414578,2473014,3709.52,-17.429918,-66.119615
05-16-313-5857-000,Carla Liliana Gibert Castelló,8655848 CBBA,Av. Beijing N° 4147,ALALAY NORTE,10,576,13,419,324,Educativo,3.01.1.94.1912472,931018,1396.53,-17.411648,-66.160572
11-13-579-8786-000,Carla Liliana Gibert Castelló,8655848 CBBA,Av. Beijing N° 3239,SUDESTE,15,93,28,1173,528,Mixto,3.01.1.14.5810776,1230477,1845.72,-17.380798,-66.132404
03-17-208-9878-000,Carla Liliana Gibert Castelló,8655848 CBBA,Av. Blanco Galindo N° 3735,LA MAICA,1,289,1,487,441,Comercial,3.01.1.92.2895594,1042180,1563.27,-17.385202,-66.150297
13-07-665-3207-000,María Jesús Cáceres Sosa,5507872 CBBA,Av. América N° 2218,USPHA USPHA,1,262,37,363,63,Salud,3.01.1.88.1148876,340494,510.74,-17.387218,-66.147471
13-20-848-8410-000,María Jesús Cáceres Sosa,5507872 CBBA,Av. Melchor Pérez N° 556,QUERU QUERU,4,389,44,1129,1127,Industrial,3.01.1.87.3688007,1194482,1791.72,-17.457302,-66.132517
03-18-456-0971-000,María Jesús Cáceres Sosa,5507872 CBBA,Av. Circunvalación N° 3576,TAMBORADA PUKARITA,4,511,15,805,506,Mixto,3.01.1.40.6109419,1704185,2556.28,-17.373206,-66.176557
05-01-917-2649-000,María Jesús Cáceres Sosa,5507872 CBBA,Av. Villazón N° 2042,VALLE HERMOSO OESTE,8,759,33,515,88,Mixto,3.01.1.52.8445114,795675,1193.51,-17.416417,-66.162151
07-12-019-8818-000,Cecilio Font Marti,3163744 CBBA,Av. Villazón N° 3781,JAIHUAYCO,6,678,47,399,215,Mixto,3.01.1.81.1244004,932862,1399.29,-17.372774,-66.140043
10-20-808-9153-000,Cecilio Font Marti,3163744 CBBA,Av. Melchor Pérez N° 1812,VALLE HERMOSO OESTE,12,202,43,444,305,Educativo,3.01.1.15.8183519,667332,1001.0,-17.341091,-66.170185
06-08-505-8687-000,Cecilio Font Marti,3163744 CBBA,Av. Villazón N° 1245,MAYORAZGO,1,327,43,617,127,Salud,3.01.1.73.3044414,1475247,2212.87,-17.440087,-66.158594
11-02-981-1488-000,Cecilio Font Marti,3163744 CBBA,Av. América N° 1314,SUDESTE,8,729,28,700,573,Educativo,3.01.1.51.2665868,1605800,2408.7,-17.431813,-66.121665
03-18-655-5506-000,Cecilio Font Marti,3163744 CBBA,Av. Beijing N° 1049,SUDESTE,10,937,5,748,133,Comercial,3.01.1.56.6251512,1359864,2039.8,-17.373193,-66.189788
07-13-962-2920-000,Alfonso Conde Peral,3522980 CBBA,Av. Melchor Pérez N° 1082,NORESTE,12,207,30,200,175,Mixto,3.01.1.85.9733518,158800,238.2,-17.393306,-66.141378
05-17-855-3789-000,Alfonso Conde Peral,3522980 CBBA,Av. América N° 2659,MESADILLA,10,598,31,726,243,Residencial,3.01.1.72.1235482,505296,757.94,-17.356748,-66.167368
04-08-056-3306-000,Tere Baró-Navarrete,7898088 CBBA,Av. Melchor Pérez N° 1707,CHIQUICOLLO,4,17,28,241,185,Comercial,3.01.1.50.9516564,265100,397.65,-17.44396,-66.161261
02-11-540-9045-000,Tere Baró-Navarrete,7898088 CBBA,Av. Circunvalación N° 4972,PUKARA GRANDE SUR,4,8,24,1157,752,Mixto,3.01.1.53.5009462,1008904,1513.36,-17.34857,-66.168657
07-20-735-3542-000,Tere Baró-Navarrete,7898088 CBBA,Av. Beijing N° 469,SUDESTE,10,918,14,1173,1152,Industrial,3.01.1.38.6336021,2870331,4305.5,-17.390896,-66.179412
07-04-079-6424-000,Tere Baró-Navarrete,7898088 CBBA,Av. Melchor Pérez N° 2248,VALLE HERMOSO OESTE,3,53,8,451,101,Salud,3.01.1.53.8483592,455961,683.94,-17.408097,-66.15493
14-10-896-4547-000,Tere Baró-Navarrete,7898088 CBBA,Av. América N° 3659,KHARA KHARA ARRUMANI,12,830,39,938,780,Comercial,3.01.1.38.6001748,1509242,2263.86,-17.425038,-66.154058
09-08-922-6403-000,Estefanía Aroa Polo Lladó,9731121 CBBA,Av. Circunvalación N° 2757,TEMPORAL PAMPA,7,37,5,832,482,Comercial,3.01.1.43.6262457,1677312,2515.97,-17.351381,-66.155003
03-20-472-0043-000,Estefanía Aroa Polo Lladó,9731121 CBBA,Av. Beijing N° 1403,LA TEMIBLE CARA CARA,14,895,7,349,242,Salud,3.01.1.90.7437787,262448,393.67,-17.394767,-66.155766
15-08-466-9029-000,Estefanía Aroa Polo Lladó,9731121 CBBA,Av. Villazón N° 1373,HIPODROMO,3,218,14,246,129,Industrial,3.01.1.16.8449562,173922,260.88,-17.41182,-66.125515
11-17-031-6155-000,Estefanía Aroa Polo Lladó,9731121 CBBA,Av. Melchor Pérez N° 2464,CALA CALA,6,595,47,657,559,Salud,3.01.1.88.9242627,1356705,2035.06,-17.397259,-66.185248
06-03-201-0910-000,Estefanía Aroa Polo Lladó,9731121 CBBA,Av. América N° 3664,MUYURINA,6,25,4,1076,718,Residencial,3.01.1.23.5439382,1954016,2931.02,-17.414871,-66.118497
13-02-109-5153-000,Simón de España,8157835 CBBA,Av. Circunvalación N° 2307,MAYORAZGO,1,382,4,286,94,Salud,3.01.1.79.3641160,521664,782.5,-17.428603,-66.125619
02-20-445-7326-000,Simón de España,8157835 CBBA,Av. Beijing N° 3463,TICTI,4,166,26,951,343,Educativo,3.01.1.10.7085517,737025,1105.54,-17.387219,-66.131954
10-20-507-0736-000,Simón de España,8157835 CBBA,Av. Melchor Pérez N° 4134,QUERU QUERU,4,753,10,235,150,Comercial,3.01.1.46.5431195,219020,328.53,-17.381098,-66.17134
08-19-591-6895-000,Fidel Agullo Sancho,9886097 CBBA,Av. Villazón N° 2848,SARCO,13,484,26,948,271,Comercial,3.01.1.59.6302388,789684,1184.53,-17.420521,-66.181482
05-06-432-9573-000,Fidel Agullo Sancho,9886097 CBBA,Av. Blanco Galindo N° 4970,ALALAY SUD,6,280,19,209,140,Educativo,3.01.1.22.3215941,235543,353.31,-17.382808,-66.127991
10-14-719-4675-000,Fidel Agullo Sancho,9886097 CBBA,Av. Beijing N° 1675,LACMA,1,922,46,462,380,Comercial,3.01.1.69.2960755,358974,538.46,-17.443814,-66.115835
07-13-284-4532-000,Fidel Agullo Sancho,9886097 CBBA,Av. Beijing N° 1966,ALALAY NORTE,10,175,6,358,263,Mixto,3.01.1.85.6823082,290338,435.51,-17.38211,-66.164578
02-15-861-2442-000,Dan de Lorenzo,7209432 CBBA,Av. Melchor Pérez N° 4120,LA CHIMBA,12,408,49,478,286,Educativo,3.01.1.79.5143307,747592,1121.39,-17.347559,-66.16727
11-17-873-9709-000,Dan de Lorenzo,7209432 CBBA,Av. América N° 4982,LA MAICA,10,710,21,329,158,Mixto,3.01.1.54.3619571,450730,676.1,-17.407492,-66.181711
01-13-409-4430-000,Dan de Lorenzo,7209432 CBBA,Av. Circunvalación N° 456,MUYURINA,6,882,33,1040,592,Comercial,3.01.1.21.2662524,2408640,3612.96,-17.405706,-66.137884
06-03-130-3324-000,Tere Cámara-Perera,8315603 CBBA,Av. Blanco Galindo N° 1879,LAS CUADRAS,14,596,12,910,100,Residencial,3.01.1.89.7540402,652470,978.71,-17.380393,-66.192421
12-08-382-5749-000,Tere Cámara-Perera,8315603 CBBA,Av. Villazón N° 1486,TEMPORAL PAMPA,3,698,14,767,212,Comercial,3.01.1.84.1142119,1088373,1632.56,-17.416146,-66.20271
12-12-031-6700-000,Tere Cámara-Perera,8315603 CBBA,Av. Melchor Pérez N° 2902,USPHA USPHA,13,199,5,1000,423,Industrial,3.01.1.28.8769342,716000,1074.0,-17.460436,-66.133502
07-19-986-9113-000,Melchor Alegria-Moll,8168986 CBBA,Av. Circunvalación N° 2740,ALALAY NORTE,4,274,11,347,263,Industrial,3.01.1.55.5794451,687754,1031.63,-17.406853,-66.149087
02-18-469-9490-000,Melchor Alegria-Moll,8168986 CBBA,Av. Circunvalación N° 1630,1° DE MAYO,3,412,27,233,161,Educativo,3.01.1.41.1247747,420565,630.85,-17.400273,-66.122392
06-20-620-7970-000,Melchor Alegria-Moll,8168986 CBBA,Av. Circunvalación N° 4453,MESADILLA,10,219,32,593,522,Residencial,3.01.1.29.6112302,1241742,1862.61,-17.447078,-66.147272
11-08-120-3794-000,Melchor Alegria-Moll,8168986 CBBA,Av. América N° 453,JAIHUAYCO,6,43,49,1169,1016,Mixto,3.01.1.39.9817758,2056271,3084.41,-17.424684,-66.133486
10-03-565-7125-000,Melchor Alegria-Moll,8168986 CBBA,Av. Melchor Pérez N° 2848,SUDOESTE,14,95,11,589,196,Salud,3.01.1.47.7945200,1384150,2076.22,-17.421412,-66.19565
12-04-555-1632-000,Nereida Canals Talavera,1120953 CBBA,Av. Circunvalación N° 501,ALALAY SUD,3,176,31,519,213,Residencial,3.01.1.16.8484457,1016202,1524.3,-17.441954,-66.174408
09-12-133-8976-000,Nereida Canals Talavera,1120953 CBBA,Av. Blanco Galindo N° 742,PUKARA GRANDE SUR,10,20,9,1143,116,Industrial,3.01.1.37.6287033,2322576,3483.86,-17.385131,-66.144876
02-02-603-0494-000,Nereida Canals Talavera,1120953 CBBA,Av. Villazón N° 293,PUKARA GRANDE OESTE,7,628,20,194,193,Educativo,3.01.1.57.5653329,467152,700.73,-17.419103,-66.17376
10-03-943-2424-000,Nereida Canals Talavera,1120953 CBBA,Av. Villazón N° 4699,ARANJUEZ ALTO,13,34,14,217,136,Salud,3.01.1.76.4163878,211141,316.71,-17.361906,-66.140846
13-09-277-6427-000,Nereida Canals Talavera,1120953 CBBA,Av. Circunvalación N° 2224,ALALAY SUD,1,673,45,519,386,Mixto,3.01.1.23.8578984,960669,1441.0,-17.338734,-66.167139
13-19-193-4120-000,Graciela Bayo Arce,6475202 CBBA,Av. Melchor Pérez N° 3379,MESADILLA,4,780,7,513,83,Industrial,3.01.1.58.7096569,537111,805.67,-17.387197,-66.183597
01-12-860-4171-000,Graciela Bayo Arce,6475202 CBBA,Av. Villazón N° 3948,USPHA USPHA,12,363,41,907,770,Residencial,3.01.1.20.6212823,1754138,2631.21,-17.419012,-66.117745
12-19-060-9156-000,Graciela Bayo Arce,6475202 CBBA,Av. Beijing N° 2370,TICTI,9,573,31,1139,1037,Mixto,3.01.1.27.2515565,1364522,2046.78,-17.416594,-66.20361
13-15-584-5184-000,Fernando Guerrero-Lobato,8505898 CBBA,Av. Villazón N° 3053,NOROESTE,12,453,2,598,537,Comercial,3.01.1.56.4321357,1096134,1644.2,-17.45341,-66.113913
04-11-709-6072-000,Fernando Guerrero-Lobato,8505898 CBBA,Av. Villazón N° 2107,NORESTE,11,902,3,888,414,Residencial,3.01.1.48.9956167,1290264,1935.4,-17.433087,-66.168411
01-18-751-0049-000,Fernando Guerrero-Lobato,8505898 CBBA,Av. Blanco Galindo N° 383,PUKARA GRANDE NORTE,2,330,19,784,329,Comercial,3.01.1.19.5386391,1264592,1896.89,-17.440187,-66.14903
09-11-492-6004-000,Chucho Vinicio Blazquez Manrique,3522738 CBBA,Av. Melchor Pérez N° 3272,SUDOESTE,12,923,9,776,687,Residencial,3.01.1.55.5355123,1450344,2175.52,-17.435703,-66.128165
01-04-471-1434-000,Chucho Vinicio Blazquez Manrique,3522738 CBBA,Av. Melchor Pérez N° 798,TAMBORADA PUKARITA,12,654,27,984,716,Comercial,3.01.1.73.5997217,2454096,3681.14,-17.356933,-66.160277
10-01-093-7786-000,Chucho Vinicio Blazquez Manrique,3522738 CBBA,Av. Blanco Galindo N° 1616,QUERU QUERU ALTO,11,736,32,1010,915,Comercial,3.01.1.35.3549181,1083730,1625.6,-17.389636,-66.136862
03-11-464-8204-000,Chucho Vinicio Blazquez Manrique,3522738 CBBA,Av. Blanco Galindo N° 3397,TEMPORAL PAMPA,7,759,21,482,281,Comercial,3.01.1.23.1272058,1101852,1652.78,-17.391207,-66.212896
03-20-555-4661-000,Chucho Vinicio Blazquez Manrique,3522738 CBBA,Av. Melchor Pérez N° 755,PUKARA GRANDE SUR,15,165,29,1104,967,Educativo,3.01.1.20.1746781,914112,1371.17,-17.460003,-66.120536
10-12-720-4884-000,Fito Calleja Torre,3483322 CBBA,Av. Melchor Pérez N° 1497,SARCO,14,777,40,777,721,Comercial,3.01.1.79.1683354,1752135,2628.2,-17.436146,-66.182944
12-18-107-4551-000,Fito Calleja Torre,3483322 CBBA,Av. Blanco Galindo N° 2124,LA CHIMBA,13,194,39,1172,93,Comercial,3.01.1.17.5849290,1713464,2570.2,-17.408269,-66.204015
01-02-503-2315-000,Fito Calleja Torre,3483322 CBBA,Av. Circunvalación N° 364,LA TEMIBLE CARA CARA,3,400,13,610,391,Educativo,3.01.1.55.1249544,1464000,2196.0,-17.40306,-66.166249
03-03-330-0687-000,Bernarda Soto Alvarez,2766374 CBBA,Av. Circunvalación N° 2207,LACMA,5,976,21,717,205,Salud,3.01.1.37.1040654,1654836,2482.25,-17.339896,-66.165473
04-19-179-0585-000,Bernarda Soto Alvarez,2766374 CBBA,Av. Villazón N° 917,SUDESTE,14,586,42,359,314,Industrial,3.01.1.62.5416580,575836,863.75,-17.432673,-66.141566
13-09-129-4987-000,Bernarda Soto Alvarez,2766374 CBBA,Av. Blanco Galindo N° 2693,NOROESTE,9,98,48,153,89,Educativo,3.01.1.58.9446879,101439,152.16,-17.398158,-66.171642
09-12-470-4415-000,Bernarda Soto Alvarez,2766374 CBBA,Av. Beijing N° 2888,CONDEBAMBA,9,495,46,1180,826,Comercial,3.01.1.59.2352383,1025420,1538.13,-17.356056,-66.161683
15-12-325-4865-000,Natanael Tejero Haro,8973294 CBBA,Av. Beijing N° 943,PUKARA GRANDE OESTE,8,233,37,1108,92,Educativo,3.01.1.28.9849427,2341204,3511.81,-17.381684,-66.140578
05-05-567-7246-000,Natanael Tejero Haro,8973294 CBBA,Av. América N° 134,MUYURINA,6,956,6,352,337,Salud,3.01.1.13.4737458,547008,820.51,-17.428786,-66.118161
01-07-810-9875-000,Abel Calatayud Millán,3428055 CBBA,Av. Villazón N° 3200,QUERU QUERU ALTO,12,952,27,762,247,Educativo,3.01.1.94.6708584,1777746,2666.62,-17.450314,-66.14822
13-03-584-3953-000,Abel Calatayud Millán,3428055 CBBA,Av. Blanco Galindo N° 523,TAMBORADA PUKARITA,3,472,18,467,91,Residencial,3.01.1.38.9045009,1068963,1603.44,-17.42676,-66.158066
12-09-448-6076-000,Abel Calatayud Millán,3428055 CBBA,Av. Villazón N° 4849,USPHA USPHA,10,833,41,749,500,Comercial,3.01.1.76.1990742,1161699,1742.55,-17.438542,-66.134344
11-20-293-9104-000,Abel Calatayud Millán,3428055 CBBA,Av. Circunvalación N° 4023,LA CHIMBA,13,90,15,886,746,Comercial,3.01.1.73.1765882,1280270,1920.4,-17.361982,-66.168082
14-13-105-2339-000,Abel Calatayud Millán,3428055 CBBA,Av. América N° 4521,VALLE HERMOSO OESTE,12,525,24,1055,900,Comercial,3.01.1.95.3447262,1587775,2381.66,-17.440936,-66.118963
11-14-584-3188-000,Saturnino Carranza Andreu,3766996 CBBA,Av. Circunvalación N° 4059,USPHA USPHA,4,359,38,180,72,Educativo,3.01.1.84.6651515,314100,471.15,-17.382644,-66.20566
10-15-531-0403-000,Saturnino Carranza Andreu,3766996 CBBA,Av. Melchor Pérez N° 3655,MESADILLA,10,929,26,296,189,Residencial,3.01.1.54.4530984,299552,449.33,-17.381212,-66.132606
10-20-138-5616-000,Saturnino Carranza Andreu,3766996 CBBA,Av. Villazón N° 4009,SARCOBAMBA,2,946,16,281,152,Educativo,3.01.1.36.5596297,304042,456.06,-17.358945,-66.148114
12-17-063-2713-000,Cesar Garcia-Lago,1316236 CBBA,Av. Circunvalación N° 2769,QUERU QUERU ALTO,4,896,13,363,137,Educativo,3.01.1.63.8255286,434511,651.77,-17.435081,-66.162962
02-17-288-2023-000,Cesar Garcia-Lago,1316236 CBBA,Av. Beijing N° 4131,ALALAY NORTE,15,986,11,321,311,Educativo,3.01.1.80.3196428,250701,376.05,-17.412723,-66.163164
12-19-675-6027-000,Cesar Garcia-Lago,1316236 CBBA,Av. Villazón N° 2930,LA CHIMBA,9,221,20,676,475,Salud,3.01.1.38.7882624,743600,1115.4,-17.459147,-66.105739
03-07-769-5250-000,Abril del Mariño,6370512 CBBA,Av. Blanco Galindo N° 3480,NOROESTE,6,750,2,304,72,Industrial,3.01.1.71.2238903,336224,504.34,-17.41061,-66.152818
07-01-253-0302-000,Abril del Mariño,6370512 CBBA,Av. Villazón N° 4735,LAS CUADRAS,4,762,41,293,162,Salud,3.01.1.85.1102815,431589,647.38,-17.391384,-66.188745
08-17-547-4008-000,Abril del Mariño,6370512 CBBA,Av. Villazón N° 3679,SARCOBAMBA,7,967,34,684,520,Residencial,3.01.1.62.8775847,1063620,1595.43,-17.453754,-66.165385
06-13-866-3087-000,Vanesa Cornejo Puga,7888574 CBBA,Av. Beijing N° 3909,MESADILLA,5,449,44,497,301,Industrial,3.01.1.65.4690441,1126699,1690.05,-17.441241,-66.181591
12-01-659-7760-000,Vanesa Cornejo Puga,7888574 CBBA,Av. Villazón N° 3419,JAIHUAYCO,5,672,37,343,286,Residencial,3.01.1.37.3170162,330652,495.98,-17.45386,-66.139333
09-13-623-4588-000,Adela Mayol Fajardo,1356924 CBBA,Av. Melchor Pérez N° 4143,CHIQUICOLLO,14,865,32,686,143,Salud,3.01.1.46.9986906,1281448,1922.17,-17.363705,-66.145937
12-15-622-9191-000,Adela Mayol Fajardo,1356924 CBBA,Av. Blanco Galindo N° 4996,CHIQUICOLLO,2,160,48,757,655,Salud,3.01.1.20.4911797,1001511,1502.27,-17.459573,-66.102365
06-08-517-7349-000,Lina Garcia Vigil,7068967 CBBA,Av. América N° 4703,SUDOESTE,10,341,10,427,146,Salud,3.01.1.39.6249755,798917,1198.38,-17.402004,-66.151007
02-04-262-4264-000,Lina Garcia Vigil,7068967 CBBA,Av. Villazón N° 1022,TEMPORAL PAMPA,7,211,3,300,245,Comercial,3.01.1.78.2900779,232500,348.75,-17.433579,-66.136572
04-05-360-4929-000,Lina Garcia Vigil,7068967 CBBA,Av. Circunvalación N° 135,LA TEMIBLE CARA CARA,15,186,24,694,572,Residencial,3.01.1.90.7325306,1392858,2089.29,-17.436553,-66.144154
05-06-271-5594-000,Jose Manuel Carranza Soriano,8357252 CBBA,Av. América N° 1766,ALALAY NORTE,14,470,34,959,277,Educativo,3.01.1.22.9539260,820904,1231.36,-17.436144,-66.130844
07-19-785-2328-000,Jose Manuel Carranza Soriano,8357252 CBBA,Av. América N° 3922,VILLA BUSCH,8,744,13,699,221,Residencial,3.01.1.11.9367895,989085,1483.63,-17.423772,-66.179651
14-20-498-1410-000,Jose Manuel Carranza Soriano,8357252 CBBA,Av. Blanco Galindo N° 274,ARANJUEZ ALTO,6,38,27,458,164,Salud,3.01.1.68.5353847,938900,1408.35,-17.433576,-66.162742
12-10-340-4321-000,Jose Manuel Carranza Soriano,8357252 CBBA,Av. Blanco Galindo N° 3856,PUKARA GRANDE OESTE,10,121,34,1028,311,Educativo,3.01.1.10.1648337,1943948,2915.92,-17.466073,-66.136534
08-11-763-1185-000,Jose Manuel Carranza Soriano,8357252 CBBA,Av. América N° 3097,PUKARA GRANDE SUR,9,23,37,211,206,Salud,3.01.1.22.3050650,358278,537.42,-17.445435,-66.17374
06-04-353-3037-000,Aitana Diez Roldan,9155393 CBBA,Av. América N° 4419,LA TEMIBLE CARA CARA,9,542,47,621,116,Residencial,3.01.1.29.6689808,1280502,1920.75,-17.424718,-66.142467
15-17-426-0480-000,Aitana Diez Roldan,9155393 CBBA,Av. América N° 678,TICTI,15,23,24,348,245,Mixto,3.01.1.67.1177375,447180,670.77,-17.399414,-66.120662
09-20-601-6814-000,Aitana Diez Roldan,9155393 CBBA,Av. América N° 3243,MUYURINA,10,544,40,807,180,Mixto,3.01.1.88.4486694,1400145,2100.22,-17.454445,-66.134799
15-03-869-7759-000,Samuel Jiménez Araujo,5763994 CBBA,Av. Blanco Galindo N° 2106,COÑA COÑA,9,500,28,1051,484,Industrial,3.01.1.74.3866140,2182927,3274.39,-17.394707,-66.121647
